Country,Come,Go
Canada,9441799,571562
United States,1189608,257558
Algeria,8267660,271276
Angola,5582420,246926
Burkina Faso,20962,536852
Burundi,9936,854712
Cameroon,144639,51574
Chad,27450,3550
DR Congo,28817,2713690
Egypt,68957,1864488
Eritrea,12,25476
Ethiopia,7516,1304288
Ghana,2030,157206
Guinea,411432,618498
Ivory Coast,9768,489902
Kenya,334517,296738
Liberia,170615,0
Libya,316701,291282
Malawi,217416,452524
Mali,86062,256904
Morocco,134464,1004068
Mozambique,2879,45010
Nigeria,64414,386548
Rwanda,89046,0
Senegal,1090567,262802
Sierra Leone,733987,412930
Somalia,51140,327040
South Africa,66366,150632
South Sudan,151089,0
Sudan,499186,1392562
Tanzania,79181,745050
Togo,166717,6496
Uganda,91452,738568
Zambia,318010,192688
Zimbabwe,196725,394774
Albania,5720,551136
Austria,1429431,126866
Belgium,4975042,86894
Bosnia & Herzegovina,23811,0
Bulgaria,136495,236668
Croatia,138049,404742
Czech Republic,207250,32084
Denmark,12369,43146
France,48044,784388
Germany,50086,1344602
Greece,418102,66990
Hungary,302762,42332
Ireland,1633737,50336
Italy,114940,638020
Netherlands,96727,213188
Norway,348050,30942
Poland,357852,460384
Portugal,177150,138358
Romania,57519,623140
Serbia,215915,688644
Spain,37704,6470
Sweden,163190,142990
Switzerland,490897,197398
United Kingdom,348918,775356
Armenia,180515,525448
Azerbaijan,439114,267780
Belarus,440592,112068
Georgia,2599277,765824
Kazakhstan,39891,2710852
Kyrgyzstan,10742,91006
Latvia,49362,180288
Lithuania,4568,209526
Moldova,39755,501142
Russia,37076,78414
Tajikistan,29537,663552
Ukraine,157,1541794
Uzbekistan,1397493,824970
Iraq,776369,149608
Israel,154497,40410
Jordan,94968,587726
Kuwait,901190,146612
Lebanon,811755,271692
Oman,243845,456166
Palestine,148454,68100
Qatar,108627,29404
Saudi Arabia,213164,1979512
Syria,29318,257312
Turkey,86800,476794
United Arab Emirates,51453,102762
Yemen,155929,202478
Afghanistan,168,778780
Bangladesh,103517,2111960
India,351136,2323292
Iran,176847,111524
Nepal,285971,445994
Pakistan,1719719,1106406
Sri Lanka,60582,786264
China,528650,1763804
Hong Kong,611073,4824
Japan,404905,452220
South Korea,384496,1161916
Brunei,512,18952
Cambodia,122831,0
Indonesia,845848,1807568
Malaysia,474242,487738
Myanmar,231965,72754
Philippines,209608,1662684
Singapore,805131,106756
Thailand,915933,2546
Vietnam,46596,615030
Australia,55504,234528
New Zealand,587226,153196
Argentina,116840,427546
Bolivia,46552,229392
Brazil,308507,373240
Chile,487967,2458
Colombia,37963,328832
Costa Rica,575867,39238
Cuba,557792,311694
Dominican Republic,167291,395776
Ecuador,305054,503310
El Salvador,616883,798716
Guatemala,165666,771958
Haiti,65424,274678
Honduras,42450,366206
Jamaica,40160,156054
Mexico,17447,3063466
Nicaragua,138520,314396
Paraguay,20600,119856
Peru,39800,699636
Puerto Rico,1751,183464
Venezuela,642,132172
